x,y,z
-4.599503,-1.965451,11.744856
-0.307787,4.994500,5.631324
3.350380,3.714467,0.490766
-4.847776,1.184672,1.758189
-4.981976,0.457374,1.305249
-4.809816,-1.387241,11.553416
0.734641,4.946628,17.539767
0.620199,4.971510,17.947084
0.493794,-5.002505,19.505942
3.917660,3.127247,17.099926
-4.089087,-2.870003,15.361000
4.541875,-2.133835,19.334157
-4.890734,-1.028901,6.544317
-4.916102,-0.827142,9.674423
5.002293,0.179816,0.507506
0.214123,4.999821,2.982489
4.944796,-0.761644,2.094248
4.799910,-1.370788,8.868688
4.401592,2.386758,3.823734
-1.758475,4.683413,12.507092
-2.871186,-4.100422,7.380476
-0.074816,4.995475,15.074152
4.973749,-0.517245,9.375972
4.522324,2.128855,10.245184
4.966995,-0.521364,19.337931
-0.250019,-4.999641,11.124372
4.996690,0.316924,13.434313
-0.269873,5.006816,0.496329
1.428757,-4.790766,7.915991
-4.831529,-1.260963,1.835418
-0.500079,4.945750,17.480632
4.705776,1.692371,5.423051
-3.971001,3.036956,15.941993
4.457335,2.253119,1.154736
-4.594714,1.934597,4.169338
-3.891276,3.144595,9.057675
4.859884,1.098308,10.092212
4.590567,1.950208,18.545248
3.410955,3.636224,17.440973
-4.482124,2.239897,13.533077
0.090646,5.006081,14.668554
-4.884750,1.089561,9.142693
1.506444,-4.757432,12.958495
3.113401,-3.912801,2.934794
4.957029,0.679018,15.658075
2.887937,4.079089,9.546532
4.680975,1.786780,15.280934
-4.938062,-0.867126,16.046065
4.983160,-0.267412,10.019508
-3.219105,3.833827,11.621336
-0.932077,4.916395,8.781140
4.976572,-0.393021,1.418836
2.282801,-4.432567,11.185784
4.970114,0.397077,16.212128
-4.040870,-2.942982,14.048236
-1.998461,-4.589780,19.993231
-4.681062,-1.752748,9.763485
0.976185,4.914847,12.004267
4.931173,0.788295,9.065043
1.772986,-4.656408,9.878469
0.952110,4.910355,8.992050
-4.591326,-1.978652,15.372530
-0.391022,4.985916,11.571609
-2.186812,-4.494444,5.084203
0.540610,-4.960818,17.882711
-3.614029,-3.442588,2.934491
4.903155,-0.924931,4.660954
-3.415972,-3.637649,2.640561
-2.871827,-4.087180,0.295102
1.873982,4.646216,8.838963
4.394133,2.396499,19.054896
4.972440,-0.529547,3.941020
-2.059880,4.575664,7.732924
4.826520,1.269590,3.561896
-1.184943,4.860102,13.104504
-4.316271,-2.505426,12.703881
-2.406823,-4.389365,10.383141
-0.359895,4.998147,8.570749
-4.971448,-0.464436,15.054750
1.891465,4.612240,14.969450
-1.837185,4.643849,13.605180
-2.484100,4.352309,11.730712
3.977670,-3.058353,3.153525
4.994181,0.105369,4.428485
4.937440,0.696445,4.637630
-2.020463,4.590738,18.504858
1.422165,4.801678,12.764693
2.059972,-4.552862,3.115881
1.156022,-4.866915,1.486685
-2.666160,-4.220258,7.605338
4.825983,-1.263970,5.907897
4.451427,2.245700,16.097938
4.577494,1.983911,19.824848
4.772190,1.518687,5.442153
0.419732,4.989875,3.601350
4.913921,0.870745,16.377923
-1.509204,4.759367,0.779080
3.456698,-3.622459,2.588127
-4.716962,1.685840,2.002944
4.515498,2.153417,2.709511
4.713920,-1.671330,7.422997
-4.987371,-0.032930,2.474725
3.927918,-3.083048,12.816653
4.466735,-2.215554,3.427355
4.599807,1.938681,10.908977
-4.860428,1.114934,11.763808
-4.491465,-2.176905,18.437574
-0.492790,-4.979925,4.788607
-1.182855,-4.852485,14.640124
-0.775103,4.936904,17.805446
-4.441033,2.313529,15.129290
4.817780,-1.354931,2.645706
-2.311784,-4.443885,12.540861
4.837653,-1.238306,6.280243
-0.372784,-4.987312,19.770774
-4.255759,2.602196,14.660943
-1.786194,4.660404,16.783551
2.129638,-4.503880,0.955917
4.400210,-2.385048,2.251333
2.279226,-4.442262,7.017463
2.307680,-4.426663,9.298046
-4.259695,2.616348,19.668295
5.004191,-0.231623,8.919368
1.736948,4.702414,8.732924
-4.286922,-2.558567,8.846603
1.711611,4.686001,13.154465
-4.958708,-0.591947,3.312491
4.994148,0.345647,17.935047
-3.904066,3.114238,1.425262
4.941657,-0.789851,5.389683
4.989444,0.039216,15.140785
3.307608,-3.756050,2.146405
-2.964279,4.012190,16.709870
-0.377542,4.980550,13.136133
-0.406851,-4.995779,2.930374
-4.967337,0.532932,10.271842
-4.922376,-0.928591,15.485828
3.382734,-3.688806,7.852841
-1.993968,4.581939,6.533125
3.721876,3.329274,0.008337
4.238708,2.635048,0.450840
-4.488841,2.189575,19.532591
-3.120215,3.901827,10.437639
4.995430,-0.046024,5.438641
-4.711875,-1.700290,12.762745
4.771431,1.509323,9.144340
-3.880675,3.161062,3.342574
1.281970,-4.841542,3.788286
2.359096,-4.397205,7.202155
4.646426,1.836479,7.228581
-2.376658,4.395777,5.613003
-1.772046,4.673986,1.290297
-2.922513,-4.051943,8.789595
-3.144658,3.878972,17.932689
3.385845,-3.684726,19.778002
2.427462,4.380742,16.429080
4.650274,1.843939,1.223701
1.857176,-4.634119,14.000438
1.265062,4.831696,4.255695
-2.836236,4.114487,1.597366
-0.936439,4.916422,2.093085
-3.750769,-3.325383,18.947582
-0.395348,-4.992868,4.015129
-0.868732,-4.932776,10.655766
2.260167,-4.461681,10.799125
-4.878061,1.047586,8.691249
-1.153672,-4.872289,1.213869
4.923482,0.843684,16.334401
-3.946883,-3.060446,19.960686
2.581475,4.297797,13.837585
-2.007763,-4.589817,14.526091
4.962783,0.603969,0.301725
1.104061,-4.859354,0.763610
-3.069176,3.945063,2.497408
3.148287,3.870761,15.984343
3.589955,-3.486675,14.441806
0.405424,-5.001667,16.905804
3.391586,3.676982,3.887013
-1.627098,4.737081,10.136132
-4.569637,-2.031418,2.368561
-3.842448,3.223151,1.535152
-4.995548,0.251002,8.976256
2.385790,4.383040,4.207214
-2.998540,4.007225,12.724961
-4.242480,-2.661244,9.910750
3.872927,-3.141122,11.711482
5.002532,-0.088845,13.650852
4.956287,0.673465,6.912107
0.328589,5.011404,13.146021
-1.775738,4.686193,13.865547
-4.636732,-1.858314,19.611736
-3.648664,3.424796,18.982151
-1.259255,4.835383,5.877608
-3.128660,-3.892124,4.005304
-4.741506,-1.529440,5.881620
-2.323161,4.445918,0.135170
-2.754178,4.159305,9.361874
5.005675,-0.006609,13.800823
-3.586844,3.474355,10.062069
4.280319,-2.585639,8.312098
-1.901153,4.638541,10.159868
-3.918947,3.104827,6.093940
-3.508975,-3.549673,4.250132
-4.003624,2.975296,5.730410
4.308803,2.541742,11.281202
4.438886,-2.327330,1.104521
1.743133,-4.686594,1.843556
-4.986869,0.456515,10.627324
-4.853639,1.233015,11.001935
4.057192,2.930079,9.806957
-1.306200,-4.845528,13.730064
0.804754,4.935348,13.717693
-3.376250,-3.710483,13.455247
1.792004,4.670158,16.193304
-3.934115,-3.114974,16.755576
-4.987408,0.150507,10.484976
4.841610,1.230039,1.660157
-4.546361,-2.048230,11.578689
1.286773,-4.833376,18.654731
-2.526672,4.302859,13.837593
-3.671707,3.404128,16.201049
-3.920481,-3.114093,1.194497
-4.842031,1.307621,0.317577
-3.309119,3.753498,8.063651
2.712018,4.209353,2.515509
4.979449,0.359832,7.869430
-1.107349,4.883900,10.110262
-4.834539,-1.320669,3.934627
-4.118796,2.829942,7.045432
0.226083,-5.004414,12.137714
1.674793,4.713890,4.196326
4.490503,-2.180512,12.637521
-4.503154,2.166045,18.972877
0.148170,-4.986382,15.135580
-4.872651,-1.129429,17.353688
-1.625010,-4.730864,6.252621
1.285174,4.825433,8.617375
4.999884,-0.077920,8.590651
4.996675,0.158620,3.246585
-0.837452,-4.931200,3.152817
3.307628,3.756498,2.872999
-2.465427,4.340213,12.954984
1.826507,4.629816,4.665480
-0.079040,5.004088,15.043712
-0.685007,4.940042,10.188845
4.960966,0.684630,14.655180
3.168223,3.873029,12.339788
4.640534,-1.854789,17.610093
1.921001,-4.619027,8.183472
4.994758,-0.056692,0.578671
0.409282,5.000790,11.810600
-4.689899,-1.723925,11.630250
4.555217,2.036022,8.005034
-4.919071,0.906549,0.394785
0.142227,4.987025,12.024311
4.928073,0.964570,17.628170
-2.900466,4.065218,11.648928
1.004255,4.909539,2.339642
4.587418,-1.959597,8.405741
-5.013769,0.115202,0.868300
-3.925217,-3.070872,14.167481
5.001465,0.096921,2.119755
1.708535,-4.715978,16.281782
3.438172,3.622140,0.225029
2.548802,4.301404,15.599859
-4.976364,0.351991,18.884286
0.835544,-4.922379,12.721383
2.245780,-4.463069,11.297844
4.063854,2.875859,7.372939
-4.206191,2.693454,16.524778
-3.867815,3.172642,2.295126
4.073433,-2.879504,17.699208
3.504979,-3.574192,16.259127
2.589787,4.273015,18.429528
4.206444,2.685151,0.053277
3.892595,-3.132325,2.728005
-3.239365,3.788458,12.987073
2.263000,-4.464279,11.711089
1.049432,4.893882,15.419203
-3.743505,3.326620,11.776453
-2.707276,4.209509,2.739439
-2.822614,-4.125611,4.118235
-3.618947,3.466833,14.082872
4.497683,2.133138,13.067316
4.174931,2.780974,8.926130
4.040594,2.925032,18.006646
-4.894173,-1.119275,1.453088
4.990310,0.392622,6.667815
4.041046,-2.966202,0.948862
-4.965241,0.507387,15.098598
3.240967,-3.791066,14.971198
-4.747974,1.543092,13.966366
-4.847899,1.295467,9.091861
2.615641,-4.269035,2.829954
2.091983,-4.550510,0.444911
-0.205522,-4.995138,19.539954
-3.642549,-3.429116,13.232656
-0.692032,4.952418,2.113425
-1.618319,-4.717273,8.558653
-1.161101,-4.862935,0.783996
-0.623659,-4.945637,5.801040
3.897162,3.116499,6.711785
4.749482,1.593395,15.272059
3.838273,-3.196405,5.503919
4.300241,-2.566648,16.040788
-3.762673,-3.294149,3.081841
1.444076,-4.799539,12.990388
2.517198,-4.350001,15.866578
-4.372671,-2.428658,5.417918
-1.505332,-4.759986,15.110832
-3.869297,-3.152647,17.439657
0.523372,4.960201,11.747039
4.683015,-1.786150,11.934713
4.138340,-2.829804,3.026420
3.145863,-3.873854,16.890062
-1.033106,-4.886153,11.268886
4.109272,-2.859595,0.704370
3.021683,-3.970243,14.155516
-1.319399,-4.805673,2.095602
-3.368689,-3.692788,2.379269
4.789131,1.525664,16.920247
-3.792871,3.256097,4.444899
4.598969,1.947665,17.769433
-2.432690,4.360872,9.695023
-3.534388,-3.563373,13.467635
2.042061,-4.573243,8.764469
-0.907033,4.915977,9.351354
-1.490485,-4.766857,13.018992
-3.750190,-3.330452,11.910496
-3.439464,-3.624307,1.410252
2.100719,-4.539054,14.746672
4.977434,0.259996,11.290453
-4.909109,-0.935780,18.986795
4.899100,1.045674,9.847419
-3.993259,-3.011458,4.239729
-3.168564,-3.865035,11.615297
-4.270338,-2.594413,12.080623
-5.016682,-0.146762,6.967133
4.051328,2.915367,12.209292
2.994277,3.995224,18.534214
-4.965860,0.689549,18.083528
-4.714353,1.649215,15.578513
-3.482602,-3.587030,5.981483
4.205869,2.672580,0.362144
3.665874,-3.406491,2.682195
4.975262,-0.461400,4.258713
2.756270,-4.176871,1.580855
-3.481112,3.588315,1.596374
-3.041967,-3.965145,4.259543
4.417800,-2.354321,1.459795
-0.208502,-4.997050,10.596444
-4.020660,3.011292,9.850894
4.172004,2.718798,6.562521
-4.828680,1.285322,15.006088
0.308894,-4.988992,11.608973
3.354115,3.708230,15.679498
2.423084,4.379551,9.030558
1.091949,-4.867343,14.045299
3.374704,3.700567,14.558668
3.413396,3.662408,2.793201
-4.160847,2.795356,9.205599
-4.939557,-0.804157,9.000726
-4.983702,0.561341,12.361939
-4.982021,0.235322,16.650644
0.143749,4.980251,6.518232
4.961617,-0.575450,15.654987
-4.364612,2.396401,19.008709
4.744578,-1.570811,0.649737
4.590286,-1.995410,17.927128
4.917437,-0.853739,3.950330
4.250141,-2.616167,5.439940
2.457621,-4.343764,7.549566
4.970725,-0.542511,9.551920
0.030829,5.002496,10.596082
4.882219,-1.092338,3.022259
4.927100,-0.843265,8.325879
4.760277,1.504278,8.722174
-2.042602,4.561165,11.400124
-4.435919,2.304345,14.624338
-1.222615,4.856639,11.945688
4.843568,-1.289323,13.969967
-4.959362,0.647252,5.981231
-1.982149,-4.583056,18.090876
-5.005576,0.268496,6.536879
-2.739249,4.178881,0.947508
2.102852,4.549167,7.908611
3.174218,3.838777,19.533667
-0.541351,-4.966542,0.906193
4.364837,2.425954,13.849267
-3.317698,-3.749229,10.325771
0.583985,4.970065,5.006346
4.314415,-2.528084,10.097210
-4.692310,-1.803594,6.389893
-4.404138,2.377104,0.220696
3.154440,3.883233,5.548132
0.342024,-4.983739,13.505552
4.733984,-1.619310,3.729272
-0.190015,4.996733,2.199542
-4.209989,2.655557,13.010101
-3.872543,-3.157633,4.021982
-1.019688,-4.898688,14.859620
4.115526,-2.807005,18.989139
-4.990793,0.459209,6.198753
-4.998964,0.155042,7.790122
4.169849,2.749955,11.833755
5.009941,0.143346,11.392996
3.377203,3.708134,9.177093
-1.482174,4.774472,7.228097
0.891723,-4.937349,17.810655
-3.905998,3.140563,10.672917
-4.623537,1.914168,8.819415
0.147038,4.983769,13.422199
-0.254704,-5.004161,4.339433
4.909966,0.936144,19.386491
-0.526251,4.963224,8.004574
-3.851849,-3.167573,19.579186
-0.427935,-4.984274,5.334049
3.876097,-3.181795,15.433871
4.363886,-2.419080,7.687324
4.956209,-0.438979,10.360698
-4.033114,2.984412,7.154002
3.408768,3.682308,6.808570
4.478741,-2.210651,5.781601
1.438481,-4.769488,12.779965
4.319035,-2.554552,5.808098
-3.876686,3.149496,13.015583
0.230871,5.000289,15.350935
4.138645,2.796928,7.506054
4.824374,-1.238471,14.758510
1.441963,4.797141,11.547911
0.707573,-4.949816,1.630797
-1.134316,4.868581,8.150419
4.986824,-0.371594,2.892665
4.664059,1.824683,14.490076
-4.963425,0.564964,18.208079
-3.589773,3.489140,9.971930
0.776561,-4.939748,16.723693
-4.890381,-1.059198,15.060822
3.427047,3.624434,14.760071
-2.079351,-4.550456,5.716607
-1.641435,4.725492,16.410215
-4.652086,1.887142,11.452791
1.739695,-4.697664,7.209752
-2.594619,-4.286281,2.228822
-2.289841,-4.461597,16.157975
3.715572,-3.351891,7.499755
-0.225751,-4.993779,19.489210
-1.817411,4.663988,9.479631
-3.913805,3.103876,2.450529
1.132110,-4.867073,3.826328
-2.394372,-4.408572,3.347268
-0.711009,-4.945374,3.364209
4.010832,3.000703,4.684583
2.525169,4.301216,0.580140
3.715477,3.320701,1.062006
-4.026902,2.969120,3.036925
4.853682,-1.117211,18.355954
-3.539829,3.529629,9.170405
-3.474325,-3.598353,3.961723
-4.733572,-1.600668,5.095630
3.700477,3.353627,18.420537
-0.731655,4.946452,19.965752
-0.078994,-5.000856,11.812102
2.896541,4.072826,16.453011
-3.147546,3.886776,10.851100
2.386016,4.399115,1.604970
4.842425,-1.177952,6.961169
-4.315230,2.532707,0.749122
1.067224,4.883878,15.313449
2.393344,-4.379685,15.849619
-1.609264,4.735209,8.607873
-0.315139,-4.983698,18.850419
2.151972,-4.528242,11.546187
-1.360875,4.809550,5.447641
-3.961916,3.052356,4.148478
1.169853,4.849514,16.937980
4.970942,0.433313,10.517442
2.082201,-4.539846,1.513480
4.861700,-1.119878,10.170573
-2.480229,4.346386,14.251211
1.684316,-4.735255,18.265920
3.384706,3.669845,12.059564
-2.856069,-4.113985,1.408246
0.263285,-4.989416,4.307027
-3.959444,-3.056765,13.611393
0.939118,-4.898473,17.083805
4.970264,-0.375010,13.906048
-2.381617,4.390137,5.588616
-4.093546,-2.873241,9.849311
1.311527,-4.826594,16.113987
-3.029317,-3.995548,14.175217
-3.465244,3.595613,10.505892
4.756518,-1.514483,3.033869
2.136238,4.519530,4.390473
4.948850,-0.711094,7.951945
-2.575990,4.275413,7.657583
0.321006,5.007860,14.399828
-4.965965,0.602735,13.454069
4.881483,-1.109434,13.674276
-1.851160,4.648453,8.761934
-4.526001,2.142703,8.133107
2.295495,-4.454617,15.735322
-2.779768,-4.141286,10.705513
-3.722966,3.326927,16.563616
4.976079,-0.426883,14.628019
-4.839233,-1.252765,5.449540
2.066445,-4.551205,15.485014
-4.537579,2.126479,14.904236
-1.225014,-4.853376,18.403949
-3.638613,3.442721,3.666987
3.492343,3.582335,12.113494
-3.467456,3.582382,1.657673
1.062235,4.870972,6.493881
4.998036,0.487550,13.626202
-1.733245,4.678824,4.489394
4.309729,2.519506,10.363296
-4.730534,-1.652987,1.514876
4.815392,1.382895,5.155608
-4.891937,-1.108921,3.546155
-1.900668,-4.633013,16.453993
-3.338507,3.748255,4.716015
2.239192,-4.469337,9.266052
4.365231,-2.420341,17.058951
3.780723,3.255311,19.425324
-4.087902,2.889368,0.318703
-4.294718,-2.549862,7.032197
4.879132,1.032731,16.596929
4.462512,2.217405,12.601129
-3.840214,-3.172212,0.870596
4.883639,1.037547,19.860009
1.119060,-4.880574,2.155960
-4.911897,0.940771,7.476419
2.350070,4.393430,0.413158
-3.746633,3.312141,5.034101
4.997323,0.247233,9.389716
1.890788,4.631994,15.152139
1.315365,-4.830053,0.800608
-4.865156,-1.177949,2.636074
4.832685,-1.310040,3.784105
-3.982577,3.023428,13.857411
4.917286,0.825941,14.717540
-3.035199,-3.968033,11.459669
1.102257,-4.875987,1.289105
4.652377,-1.790928,6.785135
2.555857,-4.274168,10.958649
2.294665,-4.452965,7.907119
3.287567,-3.769567,15.839355
4.966205,-0.472896,14.395918
-0.425341,-4.982491,18.303952
4.103936,2.847775,5.539437
-1.440696,-4.794635,7.852241
2.127291,4.520381,9.765257
-3.768078,3.287256,7.502423
-3.323783,-3.742862,1.073792
4.771024,1.486045,3.692986
2.120090,4.502792,5.779249
-2.282249,-4.458162,12.900766
4.853254,-1.253322,5.538130
2.123418,-4.513977,3.145165
-4.440997,2.283847,4.225748
-4.275682,-2.568800,19.452407
4.918071,0.943575,7.758088
-4.593001,2.011534,10.095905
4.841609,-1.257703,3.563755
-2.224119,4.471357,11.337421
-1.981059,4.603138,1.511731
4.885519,1.120602,7.043157
-2.345638,4.425076,13.436841
1.506961,-4.750199,19.493247
3.458770,3.605709,0.550444
4.996410,0.215161,6.333618
-1.131736,-4.864933,16.371831
4.266192,-2.585913,14.707436
4.613773,1.911993,6.199974
4.989155,0.176233,10.317581
-4.248263,-2.658659,13.245162
-4.417286,2.367236,13.074156
-0.082743,-4.997413,7.943092
-3.609490,-3.459268,6.908314
-4.569946,2.054070,15.639588
1.414888,4.782963,6.495657
-1.014334,4.891866,5.218545
1.944508,4.603182,1.231048
4.356035,2.433542,1.558871
4.779158,-1.435427,6.231210
1.872148,-4.634307,4.268826
-4.429080,2.322636,4.407976
-1.045839,4.893445,4.590113
-4.316445,2.484179,0.466422
4.395339,-2.400283,5.300982
0.469339,-4.992302,15.870678
-3.808905,3.255015,14.169323
4.928758,-0.973000,12.335606
-1.491200,-4.773960,6.196298
0.910481,4.902968,2.519118
-1.844060,-4.666977,10.213441
-4.113275,-2.832734,18.597365
3.972882,3.047308,9.837270
1.248609,4.864309,13.159243
-2.685832,-4.228205,7.953107
-3.535982,-3.531868,16.828619
-4.984414,-0.335740,15.870952
-1.248991,-4.846446,18.226126
4.045587,2.921063,14.913556
4.961164,0.553791,12.516989
-3.303397,-3.765576,17.836289
-5.021651,-0.136062,10.012107
-5.010160,0.231981,10.849178
-4.485581,2.212300,9.091786
-4.617369,1.876588,5.210191
0.352548,4.992634,17.444740
1.431619,-4.788576,14.177923
3.716919,-3.367821,14.907932
1.652913,-4.721860,17.848390
-3.147031,-3.895171,11.992618
3.721000,3.326751,2.095534
0.805693,-4.936180,10.949879
4.440290,2.298080,18.744801
0.125901,-4.986317,19.011828
4.775275,1.437183,19.739068
3.383238,3.665306,9.634922
-4.090079,-2.883408,9.971497
-4.289544,2.574417,14.807673
3.955168,-3.046876,15.839704
-0.972388,4.902255,4.370837
-3.870812,3.150779,4.872194
-1.726974,-4.706639,5.094956
-0.886620,4.923056,13.907640
-4.706917,1.626960,5.078624
-4.957273,-0.558008,1.862517
-3.188997,3.848917,16.054319
3.499165,-3.587507,17.154261
-0.619167,-4.952926,6.372951
1.369641,-4.797618,17.084621
3.902596,-3.119175,3.998977
1.556084,-4.744623,16.425063
-3.901042,3.122085,6.757803
0.102451,-5.005215,2.561199
-3.780840,-3.256135,14.349368
1.746786,4.698618,8.258735
-3.468040,3.603682,11.083913
-3.678724,3.389991,16.437376
-4.489001,2.188045,7.557499
-0.447839,-4.974439,2.223435
-3.827439,-3.231091,16.901731
-3.545399,-3.525504,11.414088
-0.974397,-4.910065,17.729846
-2.510852,4.306498,7.868068
-1.972206,-4.586572,5.530098
3.012529,3.986997,17.706600
-4.674399,-1.721929,6.945662
-4.899406,1.032623,5.053982
4.066810,-2.932659,10.804940
-4.473603,2.225604,11.205232
-2.276310,4.435393,15.525176
4.267623,-2.598093,7.187999
-4.098560,-2.893607,3.480439
-0.684987,4.937387,7.608295
-2.254790,4.454257,18.693232
-4.689759,1.724014,6.566900
-4.974167,-0.349756,19.217913
-1.351873,-4.800559,7.019468
2.491912,4.341776,12.640578
4.497334,-2.170772,6.683543
4.986897,0.025969,8.788019
-3.514485,-3.565871,2.763711
1.096724,4.865916,16.961807
-4.927260,-0.794817,19.458613
-0.085081,4.992694,14.559729
4.707213,1.675364,13.775546
2.999583,-4.028068,3.960739
3.323559,3.724941,9.832830
1.566285,-4.740468,16.416609
-3.037991,-3.962050,5.380343
4.913257,-0.991444,14.251149
-0.753800,4.948100,19.966506
-0.385905,4.987990,18.559508
3.724313,-3.346853,6.908509
-4.395294,2.415450,16.130172
-0.905032,4.908779,11.018500
1.987446,4.570672,9.160978
